relax_steps,op,c_mag_used,write_c_analytic,write_c_refined,write_status,write_eps_mean,write_eps_std,meanW,deltaF_total,W_diss,deltaF_info_full,deltaF_macro,deltaF_intra,eps,pR_init,pR_final
1,Create,3.8671875,4.21875,3.8671875,converged,0.0088,0.001423610433604175,5.1575822830200195,0.0441358388191625,5.113446444200857,0.0441358388191625,-0.052526054706645287,0.09666189352580767,0.00925,0.0,0.9907499999999999
1,Update,3.8671875,4.21875,3.8671875,converged,0.0088,0.001423610433604175,4.3753156661987305,0.7438207238137962,3.6314949423849345,0.7438207238137962,0.6477317742660416,0.09608894954775477,0.00775,0.49612500000000004,0.99225
1,Delete,3.0,4.21875,3.8671875,converged,0.0088,0.001423610433604175,4.001747131347656,0.6131280116649362,3.38861911968272,0.6131280116649362,0.5510713943995329,0.06205661726540316,0.032125,0.49662500000000004,0.032125
2,Create,3.0908203125,4.21875,3.0908203125,converged,0.009333333333333334,0.0018856180831641268,2.951963424682617,-0.022037836465453653,2.9740012611480706,-0.022037836465453653,-0.059984666292160926,0.03794682982670747,0.010875,0.0,0.989125
2,Update,3.0908203125,4.21875,3.0908203125,converged,0.009333333333333334,0.0018856180831641268,2.7536959648132324,0.6680150278462236,2.085680936967009,0.6680150278462236,0.6319098036611328,0.03610522418509068,0.011125,0.508,0.988875
2,Delete,3.0,4.21875,3.0908203125,converged,0.009333333333333334,0.0018856180831641268,2.7312283515930176,0.6676287287066565,2.063599622886361,0.6676287287066565,0.6354067108411439,0.03222201786551263,0.010375,0.503375,0.010375
5,Create,2.66357421875,4.21875,2.66357421875,converged,0.009333333333333332,0.0018571184369578827,1.6000261306762695,-0.03855282192521481,1.6385789526014842,-0.03855282192521481,-0.049583101263470875,0.011030279338255958,0.008625,0.0,0.9913749999999999
5,Update,2.66357421875,4.21875,2.66357421875,converged,0.009333333333333332,0.0018571184369578827,1.5613951683044434,0.6531375128495926,0.9082576554548507,0.6531375128495926,0.6400377134696174,0.013099799379975179,0.009375,0.499875,0.990625
5,Delete,3.0,4.21875,2.66357421875,converged,0.009333333333333332,0.0018571184369578827,1.5988982915878296,0.6717448968531077,0.9271533947347219,0.6717448968531077,0.6575520365617895,0.014192860291318141,0.00575,0.48999999999999994,0.00575
10,Create,2.8857421875,4.21875,2.8857421875,converged,0.008933333333333333,0.0013199326582148886,1.1482367515563965,-0.03727565523893406,1.1855124067953304,-0.03727565523893406,-0.04839330405647513,0.01111764881754106,0.008375,0.0,0.991625
10,Update,2.8857421875,4.21875,2.8857421875,converged,0.008933333333333333,0.0013199326582148886,1.1798338890075684,0.6505814515514827,0.5292524374560856,0.6505814515514827,0.6382974841027795,0.012283967448703479,0.00975,0.50025,0.99025
10,Delete,3.0,4.21875,2.8857421875,converged,0.008933333333333333,0.0013199326582148886,1.1620732545852661,0.6559815840616212,0.5060916705236449,0.6559815840616212,0.6453445523686233,0.010637031692997748,0.00825,0.498125,0.00825
20,Create,4.21875,4.21875,4.21875,init_ok,0.0112,0.0011775681155103796,0.9565444588661194,-0.05336382780421178,1.0099082866703313,-0.05336382780421178,-0.06828672717954787,0.014922899375336297,0.01275,0.0,0.98725
20,Update,4.21875,4.21875,4.21875,init_ok,0.0112,0.0011775681155103796,0.9608119130134583,0.6385407398663951,0.3222711731470631,0.6385407398663951,0.6292453535716629,0.009295386294732116,0.01175,0.4983750000000001,0.98825
20,Delete,3.0,4.21875,4.21875,init_ok,0.0112,0.0011775681155103796,0.938769519329071,0.6179538957874979,0.3208156235415731,0.6179538957874979,0.6121396770006605,0.005814218786837284,0.01575,0.4983750000000001,0.01575
