b,B_eff,B_over_kT,error_rate,crossing_rate,mean_drift,event_cost,flux_cost,maintain_cost,is_flux_driven
0.5,0.0625,0.0625,0.132798,0.0161806,0.4908248738460243,0.008299875,0.4908248738460243,0.4908248738460243,True
0.75,0.140625,0.140625,0.1291746,0.0136686,0.5107969372831285,0.018165179,0.5107969372831285,0.5107969372831285,True
1.0,0.25,0.25,0.1148154,0.0114318,0.5099456187002361,0.02870385,0.5099456187002361,0.5099456187002361,True
1.25,0.390625,0.390625,0.103824,0.0094584,0.5043640027083457,0.04055625,0.5043640027083457,0.5043640027083457,True
1.5,0.5625,0.5625,0.0888048,0.0079458,0.48400173243135214,0.049952697,0.48400173243135214,0.48400173243135214,True
1.75,0.765625,0.765625,0.0773916,0.0063396,0.46591667336598036,0.059252944,0.46591667336598036,0.46591667336598036,True
2.0,1.0,1.0,0.0683714,0.0051512,0.4460217937044799,0.0683714,0.4460217937044799,0.4460217937044799,True
2.25,1.265625,1.265625,0.0582458,0.00408,0.4234012697301805,0.07371734,0.4234012697301805,0.4234012697301805,True
2.5,1.5625,1.5625,0.0439656,0.0031714,0.3903445610143244,0.06869625,0.3903445610143244,0.3903445610143244,True
2.75,1.890625,1.890625,0.036256,0.002272,0.363255409963429,0.068546504,0.363255409963429,0.363255409963429,True
3.0,2.25,2.25,0.0247548,0.0017668,0.3311838055886328,0.055698298,0.3311838055886328,0.3311838055886328,True
3.25,2.640625,2.640625,0.0184922,0.001227,0.3031875622943044,0.048830964,0.3031875622943044,0.3031875622943044,True
3.5,3.0625,3.0625,0.0168262,0.0008632,0.29007814272120597,0.051530235,0.29007814272120597,0.29007814272120597,True
3.75,3.515625,3.515625,0.0095572,0.0005624,0.2603632078319788,0.03359953,0.2603632078319788,0.2603632078319788,True
4.0,4.0,4.0,0.0069414,0.0003234,0.24313247813656927,0.0277656,0.24313247813656927,0.24313247813656927,True
