T,B_eff,B_over_kT,error_rate,crossing_rate,mean_drift,event_cost,flux_cost,maintain_cost,is_flux_driven
0.3,1.0,3.3333333,0.0026314,0.0003528,0.17628157570399344,0.0026314,0.05288447271119803,0.05288447271119803,True
0.5454545454545454,1.0,1.8333333,0.0191274,0.0017938,0.276910003490746,0.0191274,0.15104182008586145,0.15104182008586145,True
0.790909090909091,1.0,1.2643678,0.0459352,0.0036902,0.3786951460503042,0.0459352,0.29951343369433153,0.29951343369433153,True
1.0363636363636364,1.0,0.9649123,0.071226,0.0055426,0.4608366307280958,0.071226,0.47759432639093563,0.47759432639093563,True
1.281818181818182,1.0,0.78014183,0.0972472,0.0069658,0.528881639931351,0.0972472,0.6779301020938227,0.6779301020938227,True
1.5272727272727276,1.0,0.6547619,0.1141626,0.0083036,0.5795914888344705,0.1141626,0.8851942738562825,0.8851942738562825,True
1.772727272727273,1.0,0.5641026,0.1367188,0.009851,0.6393636282496155,0.1367188,1.1334173409879549,1.1334173409879549,True
2.018181818181818,1.0,0.4954955,0.1612924,0.0111,0.7014351959601045,0.1612924,1.4156237591194836,1.4156237591194836,True
2.2636363636363637,1.0,0.44176707,0.1670794,0.0119424,0.7201167749688029,0.1670794,1.6300825178839267,1.6300825178839267,True
2.5090909090909093,1.0,0.39855072,0.179934,0.0127888,0.7515757289528847,0.179934,1.8857718290090564,1.8857718290090564,True
2.754545454545455,1.0,0.3630363,0.1921144,0.0141004,0.7888313208557666,0.1921144,2.172871729266339,2.172871729266339,True
3.0,1.0,0.33333334,0.1982374,0.0144048,0.8015369024649263,0.1982374,2.4046107073947787,2.4046107073947787,True
